code_name,href,context
A11GA,/?code=A11GA&showdescription=yes,"Ascorbic acid (vitamin C), plain"
A11GB,/?code=A11GB&showdescription=yes,"Ascorbic acid (vitamin C), combinations"
A11HA,/?code=A11HA&showdescription=yes,Other plain vitamin preparations
A11JA,/?code=A11JA&showdescription=yes,Combinations of vitamins
A11JB,/?code=A11JB&showdescription=yes,Vitamins with minerals
A11JC,/?code=A11JC&showdescription=yes,"Vitamins, other combinations"
A12AA,/?code=A12AA&showdescription=yes,Calcium
A12AX,/?code=A12AX&showdescription=yes,"Calcium, combinations with vitamin D and/or other drugs"
A12BA,/?code=A12BA&showdescription=yes,Potassium
A12CA,/?code=A12CA&showdescription=yes,Sodium
A12CB,/?code=A12CB&showdescription=yes,Zinc
A12CC,/?code=A12CC&showdescription=yes,Magnesium
A12CD,/?code=A12CD&showdescription=yes,Fluoride
A12CE,/?code=A12CE&showdescription=yes,Selenium
A12CX,/?code=A12CX&showdescription=yes,Other mineral products
A14AA,/?code=A14AA&showdescription=yes,Androstan derivatives
A14AB,/?code=A14AB&showdescription=yes,Estren derivatives
A16AA,/?code=A16AA&showdescription=yes,Amino acids and derivatives
A16AB,/?code=A16AB&showdescription=yes,Enzymes
A16AX,/?code=A16AX&showdescription=yes,Various alimentary tract and metabolism products
B01AA,/?code=B01AA&showdescription=yes,Vitamin K antagonists
B01AB,/?code=B01AB&showdescription=yes,Heparin group
B01AC,/?code=B01AC&showdescription=yes,Platelet aggregation inhibitors excl. heparin
B01AD,/?code=B01AD&showdescription=yes,Enzymes
B01AE,/?code=B01AE&showdescription=yes,Direct thrombin inhibitors
B01AF,/?code=B01AF&showdescription=yes,Direct factor Xa inhibitors
B01AX,/?code=B01AX&showdescription=yes,Other antithrombotic agents
B02AA,/?code=B02AA&showdescription=yes,Amino acids
B02AB,/?code=B02AB&showdescription=yes,Proteinase inhibitors
B02BA,/?code=B02BA&showdescription=yes,Vitamin K
B02BB,/?code=B02BB&showdescription=yes,Fibrinogen
B02BC,/?code=B02BC&showdescription=yes,Local hemostatics
B02BD,/?code=B02BD&showdescription=yes,Blood coagulation factors
B02BX,/?code=B02BX&showdescription=yes,Other systemic hemostatics
B03AA,/?code=B03AA&showdescription=yes,"Iron bivalent, oral preparations"
B03AB,/?code=B03AB&showdescription=yes,"Iron trivalent, oral preparations"
B03AC,/?code=B03AC&showdescription=yes,"Iron, parenteral preparations"
B03AD,/?code=B03AD&showdescription=yes,Iron in combination with folic acid
B03AE,/?code=B03AE&showdescription=yes,Iron in other combinations
B03BA,/?code=B03BA&showdescription=yes,Vitamin B12 (cyanocobalamin and analogues)
B03BB,/?code=B03BB&showdescription=yes,Folic acid and derivatives
B03XA,/?code=B03XA&showdescription=yes,Other antianemic preparations
B05AA,/?code=B05AA&showdescription=yes,Blood substitutes and plasma protein fractions
B05AX,/?code=B05AX&showdescription=yes,Other blood products
B05BA,/?code=B05BA&showdescription=yes,Solutions for parenteral nutrition
B05BB,/?code=B05BB&showdescription=yes,Solutions affecting the electrolyte balance
B05BC,/?code=B05BC&showdescription=yes,Solutions producing osmotic diuresis
B05CA,/?code=B05CA&showdescription=yes,Antiinfectives
B05CB,/?code=B05CB&showdescription=yes,Salt solutions
B05CX,/?code=B05CX&showdescription=yes,Other irrigating solutions
B05DA,/?code=B05DA&showdescription=yes,Isotonic solutions
B05DB,/?code=B05DB&showdescription=yes,Hypertonic solutions
B05XA,/?code=B05XA&showdescription=yes,Electrolyte solutions
B05XB,/?code=B05XB&showdescription=yes,Amino acids
B05XC,/?code=B05XC&showdescription=yes,Vitamins
B05XX,/?code=B05XX&showdescription=yes,Other i.v. solution additives
B05ZA,/?code=B05ZA&showdescription=yes,"Hemodialytics, concentrates"
B05ZB,/?code=B05ZB&showdescription=yes,Hemofiltrates
B06AA,/?code=B06AA&showdescription=yes,Enzymes
B06AB,/?code=B06AB&showdescription=yes,Heme products
B06AC,/?code=B06AC&showdescription=yes,Drugs used in hereditary angioedema
B06AX,/?code=B06AX&showdescription=yes,Other hematological agents
C01AA,/?code=C01AA&showdescription=yes,Digitalis glycosides
C01AB,/?code=C01AB&showdescription=yes,Scilla glycosides
C01AC,/?code=C01AC&showdescription=yes,Strophanthus glycosides
C01AX,/?code=C01AX&showdescription=yes,Other cardiac glycosides
C01BA,/?code=C01BA&showdescription=yes,"Antiarrhythmics, class Ia"
C01BB,/?code=C01BB&showdescription=yes,"Antiarrhythmics, class Ib"
C01BC,/?code=C01BC&showdescription=yes,"Antiarrhythmics, class Ic"
C01BD,/?code=C01BD&showdescription=yes,"Antiarrhythmics, class III"
C01BG,/?code=C01BG&showdescription=yes,"Other antiarrhythmics, class I and III"
C01CA,/?code=C01CA&showdescription=yes,Adrenergic and dopaminergic agents
C01CE,/?code=C01CE&showdescription=yes,Phosphodiesterase inhibitors
C01CX,/?code=C01CX&showdescription=yes,Other cardiac stimulants
C01DA,/?code=C01DA&showdescription=yes,Organic nitrates
C01DB,/?code=C01DB&showdescription=yes,Quinolone vasodilators
C01DX,/?code=C01DX&showdescription=yes,Other vasodilators used in cardiac diseases
C01EA,/?code=C01EA&showdescription=yes,Prostaglandins
C01EB,/?code=C01EB&showdescription=yes,Other cardiac preparations
C01EX,/?code=C01EX&showdescription=yes,Other cardiac combination products
C02AA,/?code=C02AA&showdescription=yes,Rauwolfia alkaloids
C02AB,/?code=C02AB&showdescription=yes,Methyldopa
C02AC,/?code=C02AC&showdescription=yes,Imidazoline receptor agonists
C02BA,/?code=C02BA&showdescription=yes,Sulfonium derivatives
C02BB,/?code=C02BB&showdescription=yes,Secondary and tertiary amines
C02BC,/?code=C02BC&showdescription=yes,Bisquaternary ammonium compounds
C02CA,/?code=C02CA&showdescription=yes,Alpha-adrenoreceptor antagonists
C02CC,/?code=C02CC&showdescription=yes,Guanidine derivatives
C02DA,/?code=C02DA&showdescription=yes,Thiazide derivatives
C02DB,/?code=C02DB&showdescription=yes,Hydrazinophthalazine derivatives
C02DC,/?code=C02DC&showdescription=yes,Pyrimidine derivatives
C02DD,/?code=C02DD&showdescription=yes,Nitroferricyanide derivatives
C02DG,/?code=C02DG&showdescription=yes,Guanidine derivatives
C02KA,/?code=C02KA&showdescription=yes,"Alkaloids, excl. rauwolfia"
C02KB,/?code=C02KB&showdescription=yes,Tyrosine hydroxylase inhibitors
C02KC,/?code=C02KC&showdescription=yes,MAO inhibitors
C02KD,/?code=C02KD&showdescription=yes,Serotonin antagonists
C02KX,/?code=C02KX&showdescription=yes,Antihypertensives for pulmonary arterial hypertension
C02LA,/?code=C02LA&showdescription=yes,Rauwolfia alkaloids and diuretics in combination
C02LB,/?code=C02LB&showdescription=yes,Methyldopa and diuretics in combination
C02LC,/?code=C02LC&showdescription=yes,Imidazoline receptor agonists in combination with diuretics
C02LE,/?code=C02LE&showdescription=yes,Alpha-adrenoreceptor antagonists and diuretics
C02LF,/?code=C02LF&showdescription=yes,Guanidine derivatives and diuretics
C02LG,/?code=C02LG&showdescription=yes,Hydrazinophthalazine derivatives and diuretics
C02LK,/?code=C02LK&showdescription=yes,"Alkaloids, excl. rauwolfia, in combination with diuretics"
C02LL,/?code=C02LL&showdescription=yes,MAO inhibitors and diuretics
C02LN,/?code=C02LN&showdescription=yes,Serotonin antagonists and diuretics
C02LX,/?code=C02LX&showdescription=yes,Other antihypertensives and diuretics
C03AA,/?code=C03AA&showdescription=yes,"Thiazides, plain"
C03AB,/?code=C03AB&showdescription=yes,Thiazides and potassium in combination
C03AH,/?code=C03AH&showdescription=yes,"Thiazides, combinations with psycholeptics and/or analgesics"
C03AX,/?code=C03AX&showdescription=yes,"Thiazides, combinations with other drugs"
C03BA,/?code=C03BA&showdescription=yes,"Sulfonamides, plain"
C03BB,/?code=C03BB&showdescription=yes,Sulfonamides and potassium in combination
C03BC,/?code=C03BC&showdescription=yes,Mercurial diuretics
C03BD,/?code=C03BD&showdescription=yes,Xanthine derivatives
C03BK,/?code=C03BK&showdescription=yes,"Sulfonamides, combinations with other drugs"
C03BX,/?code=C03BX&showdescription=yes,Other low-ceiling diuretics
C03CA,/?code=C03CA&showdescription=yes,"Sulfonamides, plain"
C03CB,/?code=C03CB&showdescription=yes,Sulfonamides and potassium in combination
C03CC,/?code=C03CC&showdescription=yes,Aryloxyacetic acid derivatives
C03CD,/?code=C03CD&showdescription=yes,Pyrazolone derivatives
C03CX,/?code=C03CX&showdescription=yes,Other high-ceiling diuretics
C03DA,/?code=C03DA&showdescription=yes,Aldosterone antagonists
C03DB,/?code=C03DB&showdescription=yes,Other potassium-sparing agents
C03EA,/?code=C03EA&showdescription=yes,Low-ceiling diuretics and potassium-sparing agents
C03EB,/?code=C03EB&showdescription=yes,High-ceiling diuretics and potassium-sparing agents
C03XA,/?code=C03XA&showdescription=yes,Vasopressin antagonists
C04AA,/?code=C04AA&showdescription=yes,2-amino-1-phenylethanol derivatives
C04AB,/?code=C04AB&showdescription=yes,Imidazoline derivatives
C04AC,/?code=C04AC&showdescription=yes,Nicotinic acid and derivatives
C04AD,/?code=C04AD&showdescription=yes,Purine derivatives
C04AE,/?code=C04AE&showdescription=yes,Ergot alkaloids
C04AF,/?code=C04AF&showdescription=yes,Enzymes
C04AX,/?code=C04AX&showdescription=yes,Other peripheral vasodilators
C05AA,/?code=C05AA&showdescription=yes,Corticosteroids
C05AB,/?code=C05AB&showdescription=yes,Antibiotics
C05AD,/?code=C05AD&showdescription=yes,Local anesthetics
C05AE,/?code=C05AE&showdescription=yes,Muscle relaxants
C05AX,/?code=C05AX&showdescription=yes,Other agents for treatment of hemorrhoids and anal fissures for topical use
C05BA,/?code=C05BA&showdescription=yes,Heparins or heparinoids for topical use
C05BB,/?code=C05BB&showdescription=yes,Sclerosing agents for local injection
C05BX,/?code=C05BX&showdescription=yes,Other sclerosing agents
C05CA,/?code=C05CA&showdescription=yes,Bioflavonoids
C05CX,/?code=C05CX&showdescription=yes,Other capillary stabilizing agents
C07AA,/?code=C07AA&showdescription=yes,"Beta blocking agents, non-selective"
C07AB,/?code=C07AB&showdescription=yes,"Beta blocking agents, selective"
C07AG,/?code=C07AG&showdescription=yes,Alpha and beta blocking agents
C07BA,/?code=C07BA&showdescription=yes,"Beta blocking agents, non-selective, and thiazides"
C07BB,/?code=C07BB&showdescription=yes,"Beta blocking agents, selective, and thiazides"
C07BG,/?code=C07BG&showdescription=yes,Alpha and beta blocking agents and thiazides
C07CA,/?code=C07CA&showdescription=yes,"Beta blocking agents, non-selective, and other diuretics"
C07CB,/?code=C07CB&showdescription=yes,"Beta blocking agents, selective, and other diuretics"
C07CG,/?code=C07CG&showdescription=yes,Alpha and beta blocking agents and other diuretics
C07DA,/?code=C07DA&showdescription=yes,"Beta blocking agents, non-selective, thiazides and other diuretics"
C07DB,/?code=C07DB&showdescription=yes,"Beta blocking agents, selective, thiazides and other diuretics"
C07EA,/?code=C07EA&showdescription=yes,"Beta blocking agents, non-selective, and vasodilators"
C07EB,/?code=C07EB&showdescription=yes,"Beta blocking agents, selective, and vasodilators"
C07FB,/?code=C07FB&showdescription=yes,Beta blocking agents and calcium channel blockers
C07FX,/?code=C07FX&showdescription=yes,"Beta blocking agents, other combinations"
C08CA,/?code=C08CA&showdescription=yes,Dihydropyridine derivatives
C08CX,/?code=C08CX&showdescription=yes,Other selective calcium channel blockers with mainly vascular effects
C08DA,/?code=C08DA&showdescription=yes,Phenylalkylamine derivatives
C08DB,/?code=C08DB&showdescription=yes,Benzothiazepine derivatives
C08EA,/?code=C08EA&showdescription=yes,Phenylalkylamine derivatives
C08EX,/?code=C08EX&showdescription=yes,Other non-selective calcium channel blockers
C08GA,/?code=C08GA&showdescription=yes,Calcium channel blockers and diuretics
C09AA,/?code=C09AA&showdescription=yes,"ACE inhibitors, plain"
C09BA,/?code=C09BA&showdescription=yes,ACE inhibitors and diuretics
C09BB,/?code=C09BB&showdescription=yes,ACE inhibitors and calcium channel blockers
C09BX,/?code=C09BX&showdescription=yes,"ACE inhibitors, other combinations"
C09CA,/?code=C09CA&showdescription=yes,"Angiotensin II receptor blockers (ARBs), plain"
C09DA,/?code=C09DA&showdescription=yes,Angiotensin II receptor blockers (ARBs) and diuretics
C09DB,/?code=C09DB&showdescription=yes,Angiotensin II receptor blockers (ARBs) and calcium channel blockers
C09DX,/?code=C09DX&showdescription=yes,"Angiotensin II receptor blockers (ARBs), other combinations"
C09XA,/?code=C09XA&showdescription=yes,Renin-inhibitors
C10AA,/?code=C10AA&showdescription=yes,HMG CoA reductase inhibitors
C10AB,/?code=C10AB&showdescription=yes,Fibrates
C10AC,/?code=C10AC&showdescription=yes,Bile acid sequestrants
C10AD,/?code=C10AD&showdescription=yes,Nicotinic acid and derivatives
C10AX,/?code=C10AX&showdescription=yes,Other lipid modifying agents
C10BA,/?code=C10BA&showdescription=yes,Combinations of various lipid modifying agents
C10BX,/?code=C10BX&showdescription=yes,Lipid modifying agents in combination with other drugs
D01AA,/?code=D01AA&showdescription=yes,Antibiotics
D01AC,/?code=D01AC&showdescription=yes,Imidazole and triazole derivatives
D01AE,/?code=D01AE&showdescription=yes,Other antifungals for topical use
D01BA,/?code=D01BA&showdescription=yes,Antifungals for systemic use
D02AA,/?code=D02AA&showdescription=yes,Silicone products
D02AB,/?code=D02AB&showdescription=yes,Zinc products
D02AC,/?code=D02AC&showdescription=yes,Soft paraffin and fat products
D02AD,/?code=D02AD&showdescription=yes,Liquid plasters
D02AE,/?code=D02AE&showdescription=yes,Carbamide products
D02AF,/?code=D02AF&showdescription=yes,Salicylic acid preparations
D02AX,/?code=D02AX&showdescription=yes,Other emollients and protectives
D02BA,/?code=D02BA&showdescription=yes,Protectives against UV-radiation for topical use
D02BB,/?code=D02BB&showdescription=yes,Protectives against UV-radiation for systemic use
D03AA,/?code=D03AA&showdescription=yes,Cod-liver oil ointments
D03AX,/?code=D03AX&showdescription=yes,Other cicatrizants
D03BA,/?code=D03BA&showdescription=yes,Proteolytic enzymes
D04AA,/?code=D04AA&showdescription=yes,Antihistamines for topical use
D04AB,/?code=D04AB&showdescription=yes,Anesthetics for topical use
D04AX,/?code=D04AX&showdescription=yes,Other antipruritics
D05AA,/?code=D05AA&showdescription=yes,Tars
D05AC,/?code=D05AC&showdescription=yes,Antracen derivatives
D05AD,/?code=D05AD&showdescription=yes,Psoralens for topical use
D05AX,/?code=D05AX&showdescription=yes,Other antipsoriatics for topical use
D05BA,/?code=D05BA&showdescription=yes,Psoralens for systemic use
D05BB,/?code=D05BB&showdescription=yes,Retinoids for treatment of psoriasis
D05BX,/?code=D05BX&showdescription=yes,Other antipsoriatics for systemic use
D06AA,/?code=D06AA&showdescription=yes,Tetracycline and derivatives
D06AX,/?code=D06AX&showdescription=yes,Other antibiotics for topical use
D06BA,/?code=D06BA&showdescription=yes,Sulfonamides
D06BB,/?code=D06BB&showdescription=yes,Antivirals
D06BX,/?code=D06BX&showdescription=yes,Other chemotherapeutics
D07AA,/?code=D07AA&showdescription=yes,"Corticosteroids, weak (group I)"
D07AB,/?code=D07AB&showdescription=yes,"Corticosteroids, moderately potent (group II)"
D07AC,/?code=D07AC&showdescription=yes,"Corticosteroids, potent (group III)"
D07AD,/?code=D07AD&showdescription=yes,"Corticosteroids, very potent (group IV)"
D07BA,/?code=D07BA&showdescription=yes,"Corticosteroids, weak, combinations with antiseptics"
D07BB,/?code=D07BB&showdescription=yes,"Corticosteroids, moderately potent, combinations with antiseptics"
D07BC,/?code=D07BC&showdescription=yes,"Corticosteroids, potent, combinations with antiseptics"
D07BD,/?code=D07BD&showdescription=yes,"Corticosteroids, very potent, combinations with antiseptics"
D07CA,/?code=D07CA&showdescription=yes,"Corticosteroids, weak, combinations with antibiotics"
D07CB,/?code=D07CB&showdescription=yes,"Corticosteroids, moderately potent, combinations with antibiotics"
D07CC,/?code=D07CC&showdescription=yes,"Corticosteroids, potent, combinations with antibiotics"
D07CD,/?code=D07CD&showdescription=yes,"Corticosteroids, very potent, combinations with antibiotics"
D07XA,/?code=D07XA&showdescription=yes,"Corticosteroids, weak, other combinations"
D07XB,/?code=D07XB&showdescription=yes,"Corticosteroids, moderately potent, other combinations"
D07XC,/?code=D07XC&showdescription=yes,"Corticosteroids, potent, other combinations"
D07XD,/?code=D07XD&showdescription=yes,"Corticosteroids, very potent, other combinations"
D08AA,/?code=D08AA&showdescription=yes,Acridine derivatives
D08AB,/?code=D08AB&showdescription=yes,Aluminium agents
D08AC,/?code=D08AC&showdescription=yes,Biguanides and amidines
D08AD,/?code=D08AD&showdescription=yes,Boric acid products
D08AE,/?code=D08AE&showdescription=yes,Phenol and derivatives
D08AF,/?code=D08AF&showdescription=yes,Nitrofuran derivatives
D08AG,/?code=D08AG&showdescription=yes,Iodine products
D08AH,/?code=D08AH&showdescription=yes,Quinoline derivatives
D08AJ,/?code=D08AJ&showdescription=yes,Quaternary ammonium compounds
D08AK,/?code=D08AK&showdescription=yes,Mercurial products
D08AL,/?code=D08AL&showdescription=yes,Silver compounds
D08AX,/?code=D08AX&showdescription=yes,Other antiseptics and disinfectants
D09AA,/?code=D09AA&showdescription=yes,Medicated dressings with antiinfectives
D09AB,/?code=D09AB&showdescription=yes,Zinc bandages
D09AX,/?code=D09AX&showdescription=yes,Soft paraffin dressings
D10AA,/?code=D10AA&showdescription=yes,"Corticosteroids, combinations for treatment of acne"
D10AB,/?code=D10AB&showdescription=yes,Preparations containing sulfur
D10AD,/?code=D10AD&showdescription=yes,Retinoids for topical use in acne
D10AE,/?code=D10AE&showdescription=yes,Peroxides
D10AF,/?code=D10AF&showdescription=yes,Antiinfectives for treatment of acne
D10AX,/?code=D10AX&showdescription=yes,Other anti-acne preparations for topical use
D10BA,/?code=D10BA&showdescription=yes,Retinoids for treatment of acne
D10BX,/?code=D10BX&showdescription=yes,Other anti-acne preparations for systemic use
D11AA,/?code=D11AA&showdescription=yes,Antihidrotics
D11AC,/?code=D11AC&showdescription=yes,Medicated shampoos
D11AE,/?code=D11AE&showdescription=yes,Androgens for topical use
D11AF,/?code=D11AF&showdescription=yes,Wart and anti-corn preparations
D11AH,/?code=D11AH&showdescription=yes,"Agents for dermatitis, excluding corticosteroids"
D11AX,/?code=D11AX&showdescription=yes,Other dermatologicals
G01AA,/?code=G01AA&showdescription=yes,Antibiotics
G01AB,/?code=G01AB&showdescription=yes,Arsenic compounds
G01AC,/?code=G01AC&showdescription=yes,Quinoline derivatives
G01AD,/?code=G01AD&showdescription=yes,Organic acids
G01AE,/?code=G01AE&showdescription=yes,Sulfonamides
G01AF,/?code=G01AF&showdescription=yes,Imidazole derivatives
G01AG,/?code=G01AG&showdescription=yes,Triazole derivatives
G01AX,/?code=G01AX&showdescription=yes,Other antiinfectives and antiseptics
G01BA,/?code=G01BA&showdescription=yes,Antibiotics and corticosteroids
G01BC,/?code=G01BC&showdescription=yes,Quinoline derivatives and corticosteroids
G01BD,/?code=G01BD&showdescription=yes,Antiseptics and corticosteroids
G01BE,/?code=G01BE&showdescription=yes,Sulfonamides and corticosteroids
G01BF,/?code=G01BF&showdescription=yes,Imidazole derivatives and corticosteroids
G02AB,/?code=G02AB&showdescription=yes,Ergot alkaloids
G02AC,/?code=G02AC&showdescription=yes,"Ergot alkaloids and oxytocin incl. analogues, in combination"
G02AD,/?code=G02AD&showdescription=yes,Prostaglandins
G02AX,/?code=G02AX&showdescription=yes,Other uterotonics
G02BA,/?code=G02BA&showdescription=yes,Intrauterine contraceptives
G02BB,/?code=G02BB&showdescription=yes,Intravaginal contraceptives
G02CA,/?code=G02CA&showdescription=yes,"Sympathomimetics, labour repressants"
G02CB,/?code=G02CB&showdescription=yes,Prolactine inhibitors
G02CC,/?code=G02CC&showdescription=yes,Antiinflammatory products for vaginal administration
G02CX,/?code=G02CX&showdescription=yes,Other gynecologicals
G03AA,/?code=G03AA&showdescription=yes,"Progestogens and estrogens, fixed combinations"
G03AB,/?code=G03AB&showdescription=yes,"Progestogens and estrogens, sequential preparations"
G03AC,/?code=G03AC&showdescription=yes,Progestogens
G03AD,/?code=G03AD&showdescription=yes,Emergency contraceptives
G03BA,/?code=G03BA&showdescription=yes,3-oxoandrosten (4) derivatives
G03BB,/?code=G03BB&showdescription=yes,5-androstanon (3) derivatives
G03CA,/?code=G03CA&showdescription=yes,"Natural and semisynthetic estrogens, plain"
G03CB,/?code=G03CB&showdescription=yes,"Synthetic estrogens, plain"
G03CC,/?code=G03CC&showdescription=yes,"Estrogens, combinations with other drugs"
G03CX,/?code=G03CX&showdescription=yes,Other estrogens
G03DA,/?code=G03DA&showdescription=yes,Pregnen (4) derivatives
G03DB,/?code=G03DB&showdescription=yes,Pregnadien derivatives
