ATC code,Name,DDD,U,Adm.R,Note
A02BC01,omeprazole,20,mg,P,
A02BC02,pantoprazole,40,mg,O,
A02BC02,pantoprazole,40,mg,P,
A02BC03,lansoprazole,30,mg,O,
A02BC04,rabeprazole,20,mg,O,
A02BC05,esomeprazole,30,mg,O,
A02BC05,esomeprazole,30,mg,P,
A02BC06,dexlansoprazole,30,mg,O,
A02BC07,dexrabeprazole,,,,
A02BC08,vonoprazan,,,,
A02BC53,"lansoprazole, combinations",,,,
A02BC54,"rabeprazole, combinations",,,,
A02BD01,"omeprazole, amoxicillin and metronidazole",,,,
A02BD02,"lansoprazole, tetracycline and metronidazole",,,,
A02BD03,"lansoprazole, amoxicillin and metronidazole",,,,
A02BD04,"pantoprazole, amoxicillin and clarithromycin",,,,
A02BD05,"omeprazole, amoxicillin and clarithromycin",,,,
A02BD06,"esomeprazole, amoxicillin and clarithromycin",,,,
A02BD07,"lansoprazole, amoxicillin and clarithromycin",,,,
A02BD08,"bismuth subcitrate, tetracycline and metronidazole",,,,
A02BD09,"lansoprazole, clarithromycin and tinidazole",,,,
A02BD10,"lansoprazole, amoxicillin and levofloxacin",,,,
A02BD11,"pantoprazole, amoxicillin, clarithromycin and metronidazole",,,,
A02BD12,"rabeprazole, amoxicillin and clarithromycin",,,,
A02BD13,"rabeprazole, amoxicillin and metronidazole",,,,
A02BD14,"vonoprazan, amoxicillin and clarithromycin",,,,
A02BD15,"vonoprazan, amoxicillin and metronidazole",,,,
A02BX01,carbenoxolone,0.15,g,O,
A02BX02,sucralfate,4,g,O,
A02BX03,pirenzepine,0.1,g,O,
A02BX03,pirenzepine,20,mg,P,
A02BX04,methiosulfonium chloride,,,,
A02BX05,bismuth subcitrate,0.48,g,O,
A02BX06,proglumide,1.2,g,O,
A02BX07,gefarnate,,,,
A02BX08,sulglicotide,,,,
A02BX09,acetoxolone,,,,
A02BX10,zolimidine,,,,
A02BX11,troxipide,,,,
A02BX12,bismuth subnitrate,,,,
A02BX13,alginic acid,,,,
A02BX14,rebamipide,0.3,g,O,
A02BX51,"carbenoxolone, combinations excl. psycholeptics",,,,
A02BX71,"carbenoxolone, combinations with psycholeptics",,,,
A02BX77,"gefarnate, combinations with psycholeptics",,,,
A03AA01,oxyphencyclimine,20,mg,O,
A03AA03,camylofin,0.2,g,O,
A03AA03,camylofin,0.2,g,R,
A03AA04,mebeverine,0.3,g,O,
A03AA05,trimebutine,0.6,g,O,
A03AA06,rociverine,,,,
A03AA07,dicycloverine,80,mg,O,
A03AA07,dicycloverine,80,mg,P,
A03AA08,dihexyverine,,,,
A03AA09,difemerine,,,,
A03AA30,piperidolate,,,,
A03AB01,benzilone,70,mg,O,
A03AB02,glycopyrronium bromide,3,mg,O,
A03AB02,glycopyrronium bromide,0.3,mg,P,
A03AB02,glycopyrronium bromide,3,mg,R,
A03AB03,oxyphenonium,25,mg,O,
A03AB04,penthienate,15,mg,O,
A03AB05,propantheline,60,mg,O,
A03AB05,propantheline,60,mg,P,
A03AB06,otilonium bromide,,,,
A03AB07,methantheline,0.15,g,O,
A03AB08,tridihexethyl,0.125,g,O,
A03AB09,isopropamide,10,mg,O,
A03AB10,hexocyclium,0.15,g,O,
A03AB11,poldine,12,mg,O,
A03AB12,mepenzolate,0.1,g,O,
A03AB13,bevonium,0.2,g,O,
A03AB14,pipenzolate,20,mg,O,
A03AB15,diphemanil,,,,
A03AB16,(2-benzhydryloxyethyl)diethyl-methylammonium iodide,0.3,g,O,
A03AB17,tiemonium iodide,,,,
A03AB18,prifinium bromide,,,,
A03AB19,timepidium bromide,,,,
A03AB21,fenpiverinium,,,,
A03AB53,"oxyphenonium, combinations",,,,
A03AC02,dimethylaminopropionylphenothiazine,,,,
A03AC04,nicofetamide,,,,
A03AC05,tiropramide,,,,
A03AD01,papaverine,0.1,g,O,
A03AD01,papaverine,0.1,g,P,
A03AD02,drotaverine,0.1,g,O,
A03AD02,drotaverine,0.1,g,P,
A03AD30,moxaverine,50,mg,O,
A03AE01,alosetron,1,mg,O,
A03AE03,cilansetron,,,,
A03AX01,fenpiprane,,,,
A03AX02,diisopromine,,,,
A03AX03,chlorbenzoxamine,0.15,g,O,
A03AX04,pinaverium,0.15,g,O,
A03AX05,fenoverine,,,,
A03AX06,idanpramine,,,,
A03AX07,proxazole,,,,
A03AX08,alverine,,,,
A03AX09,trepibutone,,,,
A03AX10,isometheptene,,,,
A03AX11,caroverine,,,,
A03AX12,phloroglucinol,,,,
A03AX13,silicones,0.5,g,O,
A03AX14,valethamate,,,,
A03AX15,menthae piperitae aetheroleum,,,,
A03AX30,trimethyldiphenylpropylamine,50,mg,O,
A03AX30,trimethyldiphenylpropylamine,50,mg,P,
A03AX58,"alverine, combinations",,,,
A03BA01,atropine,1.5,mg,O,
A03BA01,atropine,1.5,mg,P,
A03BA03,hyoscyamine,1.2,mg,O,
A03BA04,belladonna total alkaloids,1,mg,O,
A03BB01,butylscopolamine,60,mg,O,
A03BB01,butylscopolamine,60,mg,P,
A03BB01,butylscopolamine,60,mg,R,
A03BB02,methylatropine,3,mg,O,
A03BB03,methylscopolamine,12,mg,O,
A03BB03,methylscopolamine,12,mg,P,
A03BB04,fentonium,60,mg,O,
A03BB05,cimetropium bromide,,,,
A03BB06,homatropine methylbromide,,,,
A03CA01,isopropamide and psycholeptics,,,,
A03CA02,clidinium and psycholeptics,,,,
A03CA03,oxyphencyclimine and psycholeptics,,,,
A03CA04,otilonium bromide and psycholeptics,,,,
A03CA05,glycopyrronium bromide and psycholeptics,,,,
A03CA06,bevonium and psycholeptics,,,,
A03CA07,ambutonium and psycholeptics,,,,
A03CA08,diphemanil and psycholeptics,,,,
A03CA09,pipenzolate and psycholeptics,,,,
A03CA30,emepronium and psycholeptics,,,,
A03CA34,propantheline and psycholeptics,,,,
A03CB01,methylscopolamine and psycholeptics,,,,
A03CB02,belladonna total alkaloids and psycholeptics,,,,
A03CB03,atropine and psycholeptics,,,,
A03CB04,homatropine methylbromide and psycholeptics,,,,
A03CB31,hyoscyamine and psycholeptics,,,,
A03DA01,tropenzilone and analgesics,,,,
A03DA02,pitofenone and analgesics,,,,
A03DA03,bevonium and analgesics,,,,
A03DA04,ciclonium and analgesics,,,,
A03DA05,camylofin and analgesics,,,,
A03DA06,trospium and analgesics,,,,
A03DA07,tiemonium iodide and analgesics,,,,
A03DB04,butylscopolamine and analgesics,,,,
A03FA01,metoclopramide,30,mg,O,
A03FA01,metoclopramide,30,mg,P,
A03FA01,metoclopramide,30,mg,R,
A03FA02,cisapride,30,mg,O,
A03FA02,cisapride,30,mg,R,
A03FA03,domperidone,30,mg,O,
A03FA03,domperidone,30,mg,P,
A03FA03,domperidone,0.12,g,R,
A03FA04,bromopride,20,mg,O,
A03FA04,bromopride,20,mg,P,
A03FA05,alizapride,0.15,g,O,
A03FA05,alizapride,0.15,g,P,
A03FA06,clebopride,,,,
A03FA07,itopride,,,,
A03FA08,cinitapride,,,,
A03FA09,mosapride,,,,
A04AA01,ondansetron,16,mg,O,
A04AA01,ondansetron,16,mg,P,
A04AA01,ondansetron,16,mg,R,
A04AA02,granisetron,2,mg,O,
A04AA02,granisetron,3,mg,P,
A04AA02,granisetron,3.1,mg,TD,
A04AA03,tropisetron,5,mg,O,
A04AA03,tropisetron,5,mg,P,
A04AA04,dolasetron,0.2,g,O,
A04AA04,dolasetron,0.1,g,P,
A04AA05,palonosetron,0.5,mg,O,
A04AA05,palonosetron,0.25,mg,P,
A04AA55,"palonosetron, combinations",,,,
A04AD01,scopolamine,,,,
A04AD02,cerium oxalate,,,,
A04AD04,chlorobutanol,,,,
A04AD05,metopimazine,15,mg,O,
A04AD05,metopimazine,15,mg,P,
A04AD10,dronabinol,,,,
A04AD11,nabilone,3,mg,O,
A04AD12,aprepitant,165,mg,O,
A04AD12,aprepitant,150,mg,P,Refers to fosaprepitant
A04AD13,casopitant,,,,
A04AD14,rolapitant,0.18,g,O,
A04AD51,"scopolamine, combinations",,,,
A04AD54,"chlorobutanol, combinations",,,,
A05AA01,chenodeoxycholic acid,1,g,O,
A05AA02,ursodeoxycholic acid,0.75,g,O,
A05AA03,cholic acid,,,,
A05AA04,obeticholic acid,10,mg,O,
A05AB01,nicotinyl methylamide,,,,
A05AX01,piprozolin,,,,
A05AX02,hymecromone,,,,
A05AX03,cyclobutyrol,,,,
A05BA01,arginine glutamate,,,,
A05BA03,silymarin,,,,
A05BA04,citiolone,,,,
A05BA05,epomediol,,,,
A05BA06,ornithine oxoglurate,,,,
A05BA07,tidiacic arginine,,,,
A05BA08,glycyrrhizic acid,,,,
A05BA09,metadoxine,,,,
A06AA01,liquid paraffin,15,g,O,
A06AA02,docusate sodium,0.15,g,O,
A06AA51,"liquid paraffin, combinations",,,,
A06AB01,oxyphenisatine,10,mg,O,
A06AB02,bisacodyl,10,mg,O,
A06AB02,bisacodyl,10,mg,R,
A06AB03,dantron,50,mg,O,
A06AB04,phenolphthalein,0.2,g,O,
A06AB05,castor oil,20,g,O,
A06AB06,senna glycosides,,,,
A06AB07,cascara,,,,
A06AB08,sodium picosulfate,5,mg,O,
A06AB09,bisoxatin,0.12,g,O,
A06AB20,contact laxatives in combination,,,,
A06AB30,contact laxatives in combination with belladonna alkaloids,,,,
A06AB52,"bisacodyl, combinations",,,,
A06AB53,"dantron, combinations",,,,
A06AB56,"senna glycosides, combinations",,,,
A06AB57,"cascara, combinations",,,,
A06AB58,"sodium picosulfate, combinations",,,,
A06AC01,ispaghula (psylla seeds),7,g,O,
A06AC02,ethulose,3,g,O,
A06AC03,sterculia,8,g,O,
A06AC05,linseed,,,,
A06AC06,methylcellulose,2,g,O,
A06AC07,triticum (wheat fibre),10,g,O,
A06AC08,polycarbophil calcium,2.5,g,O,
A06AC51,"ispaghula, combinations",,,,
A06AC53,"sterculia, combinations",,,,
A06AC55,"linseed, combinations",,,,
A06AD01,magnesium carbonate,7,g,O,
A06AD02,magnesium oxide,7,g,O,
A06AD03,magnesium peroxide,,,,
A06AD04,magnesium sulfate,7,g,O,
A06AD10,mineral salts in combination,,,,
A06AD11,lactulose,6.7,g,O,
A06AD12,lactitol,10,g,O,
A06AD13,sodium sulfate,,,,
A06AD14,pentaerithrityl,,,,
A06AD15,macrogol,10,g,O,
A06AD16,mannitol,,,,
A06AD17,sodium phosphate,50,g,O,
A06AD18,sorbitol,10,g,O,
A06AD19,magnesium citrate,,,,
A06AD21,sodium tartrate,,,,
A06AD61,"lactulose, combinations",,,,
A06AD65,"macrogol, combinations",,,,
A06AG01,sodium phosphate,,,,
A06AG02,bisacodyl,,,,
A06AG03,"dantron, incl. combinations",,,,
A06AG04,glycerol,,,,
A06AG06,oil,,,,
A06AG07,sorbitol,,,,
A06AG10,"docusate sodium, incl. combinations",,,,
A06AG11,"sodium lauryl sulfoacetate, incl. combinations",,,,
A06AG20,combinations,,,,
A06AH01,methylnaltrexone bromide,6,mg,P,
A06AH02,alvimopan,,,,
A06AH03,naloxegol,25,mg,O,
A06AH04,naloxone,,,,
A06AH05,naldemedine,0.2,mg,O,
A06AX01,glycerol,,,,
A06AX02,carbon dioxide producing drugs,,,,
A06AX03,lubiprostone,,,,
A06AX04,linaclotide,0.29,mg,O,
A06AX05,prucalopride,2,mg,O,
A06AX06,tegaserod,12,mg,O,
A06AX07,plecanatide,3,mg,O,
A06AX08,tenapanor,,,,
A07AA01,neomycin,5,g,O,
A07AA02,nystatin,1.5,MU,O,
A07AA03,natamycin,0.3,g,O,
A07AA04,streptomycin,,,,
A07AA05,polymyxin B,3,MU,O,
A07AA06,paromomycin,3,g,O,
A07AA07,amphotericin B,0.4,g,O,
A07AA08,kanamycin,3,g,O,
A07AA09,vancomycin,2,g,O,
A07AA10,colistin,9,MU,O,
A07AA11,rifaximin,0.6,g,O,
A07AA12,fidaxomicin,0.4,g,O,
A07AA13,rifamycin,,,,
A07AA51,"neomycin, combinations",,,,
A07AA54,"streptomycin, combinations",,,,
A07AB02,phthalylsulfathiazole,9,g,O,
A07AB03,sulfaguanidine,4,g,O,
A07AB04,succinylsulfathiazole,,,,
A07AC01,miconazole,1,g,O,
A07AX01,broxyquinoline,,,,
A07AX02,acetarsol,,,,
A07AX03,nifuroxazide,0.6,g,O,
A07AX04,nifurzide,,,,
A07BA01,medicinal charcoal,5,g,O,
A07BA51,"medicinal charcoal, combinations",,,,
A07BC01,pectin,,,,
A07BC02,kaolin,,,,
A07BC03,crospovidone,,,,
A07BC04,attapulgite,,,,
A07BC05,diosmectite,9,g,O,
A07BC30,combinations,,,,
A07BC54,"attapulgite, combinations",,,,
A07DA01,diphenoxylate,15,mg,O,
A07DA02,opium,0.1,g,O,
A07DA03,loperamide,10,mg,O,
A07DA04,difenoxin,,,,
A07DA05,loperamide oxide,5,mg,O,
A07DA06,eluxadoline,0.2,g,O,
A07DA52,"morphine, combinations",,,,
A07DA53,"loperamide, combinations",,,,
A07EA01,prednisolone,,,,
A07EA02,hydrocortisone,,,,
A07EA03,prednisone,,,,
A07EA04,betamethasone,,,,
A07EA05,tixocortol,,,,
A07EA06,budesonide,9,mg,O,
A07EA06,budesonide,2,mg,SL,
A07EA07,beclometasone,,,,
A07EB01,cromoglicic acid,0.8,g,O,
A07EC01,sulfasalazine,2,g,O,
A07EC01,sulfasalazine,2,g,R,
A07EC02,mesalazine,1.5,g,O,
A07EC02,mesalazine,1.5,g,R,
A07EC03,olsalazine,1,g,O,
A07EC04,balsalazide,6.75,g,O,
A07FA01,lactic acid producing organisms,,,,
A07FA02,saccharomyces boulardii,1,g,O,
A07FA51,"lactic acid producing organisms, combinations",,,,
A07XA01,albumin tannate,3,g,O,
A07XA02,ceratonia,,,,
A07XA03,calcium compounds,,,,
A07XA04,racecadotril,,,,
A07XA06,crofelemer,,,,
A07XA51,"albumin tannate, combinations",,,,
A08AA01,phentermine,15,mg,O,
A08AA02,fenfluramine,0.12,g,O,
A08AA03,amfepramone,75,mg,O,
A08AA04,dexfenfluramine,30,mg,O,
A08AA05,mazindol,1,mg,O,
A08AA06,etilamfetamine,,,,
A08AA07,cathine,,,,
A08AA08,clobenzorex,,,,
A08AA09,mefenorex,,,,
A08AA10,sibutramine,10,mg,O,
A08AA11,lorcaserin,,,,
A08AA56,"ephedrine, combinations",,,,
A08AA62,bupropion and naltrexone,,,,
A08AB01,orlistat,0.36,g,O,
A08AX01,rimonabant,20,mg,O,
A09AA01,diastase,,,,
A09AA02,"multienzymes (lipase, protease etc.)",,,,
A09AA03,pepsin,,,,
A09AA04,tilactase,,,,
A09AB01,glutamic acid hydrochloride,1.5,g,O,
A09AB02,betaine hydrochloride,1,g,O,
A09AB03,hydrochloric acid,,,,
A09AB04,citric acid,2,g,O,
A09AC01,pepsin and acid preparations,,,,
A09AC02,multienzymes and acid preparations,,,,
A10AB01,insulin (human),40,U,P,
A10AB02,insulin (beef),40,U,P,
A10AB03,insulin (pork),40,U,P,
A10AB04,insulin lispro,40,U,P,
A10AB05,insulin aspart,40,U,P,
A10AB06,insulin glulisine,40,U,P,
A10AB30,combinations,40,U,P,
A10AC01,insulin (human),40,U,P,
A10AC02,insulin (beef),40,U,P,
A10AC03,insulin (pork),40,U,P,
A10AC04,insulin lispro,40,U,P,
A10AC30,combinations,40,U,P,
A10AD01,insulin (human),40,U,P,
A10AD02,insulin (beef),40,U,P,
A10AD03,insulin (pork),40,U,P,
A10AD04,insulin lispro,40,U,P,
A10AD05,insulin aspart,40,U,P,
A10AD06,insulin degludec and insulin aspart,40,U,P,
A10AD30,combinations,40,U,P,
A10AE01,insulin (human),40,U,P,
A10AE02,insulin (beef),40,U,P,
A10AE03,insulin (pork),40,U,P,
A10AE04,insulin glargine,40,U,P,
A10AE05,insulin detemir,40,U,P,
A10AE06,insulin degludec,40,U,P,
A10AE30,combinations,40,U,P,
A10AE54,insulin glargine and lixisenatide,40,U,P,Refers to insulin glargine
A10AE56,insulin degludec and liraglutide,40,U,P,Refers to insulin degludec
A10AF01,insulin (human),15,mg,Inhal.powder,
A10BA01,phenformin,0.1,g,O,
A10BA02,metformin,2,g,O,
A10BA03,buformin,0.2,g,O,
A10BB01,glibenclamide,7,mg,O,microcryst.substance
A10BB01,glibenclamide,10,mg,O,
A10BB02,chlorpropamide,0.375,g,O,
A10BB03,tolbutamide,1.5,g,O,
A10BB04,glibornuride,38,mg,O,
A10BB05,tolazamide,0.5,g,O,
A10BB06,carbutamide,0.75,g,O,
A10BB07,glipizide,10,mg,O,
A10BB08,gliquidone,60,mg,O,
A10BB09,gliclazide,60,mg,O,
A10BB10,metahexamide,,,,
A10BB11,glisoxepide,,,,
A10BB12,glimepiride,2,mg,O,
A10BB31,acetohexamide,0.5,g,O,
A10BC01,glymidine,1,g,O,
A10BD01,phenformin and sulfonylureas,,,,
A10BD02,metformin and sulfonylureas,,,,
A10BD03,metformin and rosiglitazone,,,,
A10BD04,glimepiride and rosiglitazone,,,,
A10BD05,metformin and pioglitazone,,,,
A10BD06,glimepiride and pioglitazone,,,,
A10BD07,metformin and sitagliptin,,,,
A10BD08,metformin and vildagliptin,,,,
A10BD09,pioglitazone and alogliptin,,,,
A10BD10,metformin and saxagliptin,,,,
A10BD11,metformin and linagliptin,,,,
A10BD12,pioglitazone and sitagliptin,,,,
A10BD13,metformin and alogliptin,,,,
A10BD14,metformin and repaglinide,,,,
A10BD15,metformin and dapagliflozin,,,,
A10BD16,metformin and canagliflozin,,,,
A10BD17,metformin and acarbose,,,,
A10BD18,metformin and gemigliptin,,,,
A10BD19,linagliptin and empagliflozin,,,,
A10BD20,metformin and empagliflozin,,,,
A10BD21,saxagliptin and dapagliflozin,,,,
A10BD22,metformin and evogliptin,,,,
A10BD23,metformin and ertugliflozin,,,,
A10BD24,sitagliptin and ertugliflozin,,,,
A10BD25,"metformin, saxagliptin and dapagliflozin",,,,
A10BD26,metformin and lobeglitazone,,,,
A10BF01,acarbose,0.3,g,O,
A10BF02,miglitol,0.3,g,O,
A10BF03,voglibose,0.6,mg,O,
A10BG01,troglitazone,0.4,g,O,
A10BG02,rosiglitazone,6,mg,O,
A10BG03,pioglitazone,30,mg,O,
A10BG04,lobeglitazone,0.5,mg,O,
A10BH01,sitagliptin,0.1,g,O,
A10BH02,vildagliptin,0.1,g,O,
A10BH03,saxagliptin,5,mg,O,
A10BH04,alogliptin,25,mg,O,
A10BH05,linagliptin,5,mg,O,
A10BH06,gemigliptin,50,mg,O,
A10BH07,evogliptin,5,mg,O,
A10BH08,teneligliptin,,,,
A10BH51,sitagliptin and simvastatin,,,,
A10BH52,gemigliptin and rosuvastatin,,,,
A10BJ01,exenatide,0.286,mg,P,depot inj
A10BJ01,exenatide,15,mcg,P,
A10BJ02,liraglutide,1.5,mg,P,
A10BJ03,lixisenatide,20,mcg,P,
A10BJ04,albiglutide,5.7,mg,P,
A10BJ05,dulaglutide,0.16,mg,P,
A10BJ06,semaglutide,0.11,mg,P,
A10BJ07,beinaglutide,,,,
A10BK01,dapagliflozin,10,mg,O,
A10BK02,canagliflozin,0.2,g,O,
A10BK03,empagliflozin,17.5,mg,O,
A10BK04,ertugliflozin,10,mg,O,
A10BK05,ipragliflozin,,,,
A10BK06,sotagliflozin,,,,
A10BK07,luseogliflozin,,,,
A10BX01,guar gum,,,,
A10BX02,repaglinide,4,mg,O,
A10BX03,nateglinide,0.36,g,O,
A10BX05,pramlintide,,,,
A10BX06,benfluorex,0.45,g,O,
A10BX08,mitiglinide,30,mg,O,
A10XA01,tolrestat,,,,
A11AA01,multivitamins and iron,,,,
A11AA02,multivitamins and calcium,,,,
A11AA03,"multivitamins and other minerals, incl. combinations",,,,
A11AA04,multivitamins and trace elements,,,,
A11CA01,retinol (vit A),50,TU,O,
A11CA01,retinol (vit A),50,TU,P,
A11CA02,betacarotene,,,,
A11CC01,ergocalciferol,,,,
A11CC02,dihydrotachysterol,1,mg,O,
A11CC03,alfacalcidol,1,mcg,O,
A11CC03,alfacalcidol,1,mcg,P,
A11CC04,calcitriol,1,mcg,O,
A11CC04,calcitriol,1,mcg,P,
A11CC05,colecalciferol,20,mcg,O,
A11CC06,calcifediol,,,,
A11CC20,combinations,,,,
A11CC55,"colecalciferol, combinations",,,,
A11DA01,thiamine (vit B1),50,mg,O,
A11DA01,thiamine (vit B1),50,mg,P,
A11DA02,sulbutiamine,,,,
A11DA03,benfotiamine,,,,
A11GA01,ascorbic acid (vit C),0.2,g,O,
A11GA01,ascorbic acid (vit C),0.2,g,P,
A11GB01,ascorbic acid (vit C) and calcium,,,,
A11HA01,nicotinamide,0.15,g,O,
A11HA02,pyridoxine (vit B6),0.16,g,O,
A11HA02,pyridoxine (vit B6),0.16,g,P,
A11HA03,tocopherol (vit E),0.2,g,O,
A11HA03,tocopherol (vit E),0.2,g,P,
A11HA04,riboflavin (vit B2),,,,
A11HA05,biotin,,,,
A11HA06,pyridoxal phosphate,,,,
A11HA07,inositol,,,,
A11HA08,tocofersolan,0.2,g,O,Expressed as tocopherol
A11HA30,dexpanthenol,,,,
A11HA31,calcium pantothenate,,,,
A11HA32,pantethine,,,,
A12AA01,calcium phosphate,2,g,O,
A12AA02,calcium glubionate,2.75,g,P,
A12AA03,calcium gluconate,3,g,O,
A12AA03,calcium gluconate,3,g,P,
A12AA04,calcium carbonate,3,g,O,
A12AA05,calcium lactate,2,g,O,
A12AA06,calcium lactate gluconate,3,g,O,equivalent to 0.5 g Ca2+
A12AA07,calcium chloride,0.2,g,P,
A12AA08,calcium glycerylphosphate,,,,
A12AA09,calcium citrate lysine complex,0.5,g,O,
A12AA10,calcium glucoheptonate,3,g,O,
A12AA11,calcium pangamate,,,,
A12AA13,calcium citrate,,,,
A12AA20,calcium (different salts in combination),0.5,g,O,Ca2+
A12AA30,calcium laevulate,1,g,P,
A12BA01,potassium chloride,3,g,O,
A12BA02,potassium citrate,4,g,O,
A12BA03,potassium hydrogentartrate,7.5,g,O,
A12BA04,potassium hydrogencarbonate,4,g,O,
A12BA05,potassium gluconate,,,,
A12BA30,potassium (different salts in combination),,,,
A12BA51,"potassium chloride, combinations",,,,
A12CA01,sodium chloride,1,g,O,
A12CA02,sodium sulfate,,,,
A12CB01,zinc sulfate,0.6,g,O,
A12CB02,zinc gluconate,,,,
A12CB03,zinc protein complex,,,,
A12CC01,magnesium chloride,2.5,g,O,
A12CC01,magnesium chloride,0.8,g,P,
A12CC02,magnesium sulfate,3,g,O,
A12CC02,magnesium sulfate,1,g,P,
A12CC03,magnesium gluconate,5,g,O,
A12CC04,magnesium citrate,2,g,O,
A12CC05,magnesium aspartate,,,,
A12CC06,magnesium lactate,,,,
A12CC07,magnesium levulinate,,,,
A12CC08,magnesium pidolate,,,,
A12CC09,magnesium orotate,,,,
A12CC10,magnesium oxide,,,,
A12CC30,magnesium (different salts in combination),,,,
A12CD01,sodium fluoride,88,mg,O,40 mg fluoride
A12CD02,sodium monofluorophosphate,0.152,g,O,20 mg fluoride
A12CD51,"fluoride, combinations",,,,
A12CE01,sodium selenate,0.2,mg,O,Se
A12CE02,sodium selenite,0.2,mg,O,Se
A12CE02,sodium selenite,0.2,mg,P,
A14AA01,androstanolone,,,,
A14AA02,stanozolol,5,mg,O,
A14AA02,stanozolol,3.5,mg,P,
A14AA03,metandienone,5,mg,O,
A14AA04,metenolone,10,mg,O,
A14AA04,metenolone,7,mg,P,
A14AA05,oxymetholone,0.25,g,O,
A14AA06,quinbolone,,,,
A14AA07,prasterone,,,,
A14AA08,oxandrolone,,,,
A14AA09,norethandrolone,,,,
A14AB01,nandrolone,2,mg,P,
A14AB02,ethylestrenol,2,mg,O,
A14AB03,oxabolone cipionate,,,,
A16AA01,levocarnitine,2,g,O,
A16AA01,levocarnitine,2,g,P,
A16AA02,ademetionine,,,,
A16AA03,glutamine,,,,
A16AA04,mercaptamine,2,g,O,
A16AA05,carglumic acid,0.2,g,O,
A16AA06,betaine,6,g,O,
A16AA07,metreleptin,,,,
A16AB01,alglucerase,,,,
A16AB02,imiglucerase,300,U,P,
A16AB03,agalsidase alfa,1,mg,P,
A16AB04,agalsidase beta,5,mg,P,
A16AB05,laronidase,1,TU,P,
A16AB06,sacrosidase,68,TU,O,
A16AB07,alglucosidase alfa,0.1,g,P,
A16AB08,galsulfase,,,,
A16AB09,idursulfase,,,,
A16AB10,velaglucerase alfa,300,U,P,
A16AB11,taliglucerase alfa,,,,
A16AB12,elosulfase alfa,20,mg,P,
A16AB13,asfotase alfa,,,,
A16AB14,sebelipase alfa,5,mg,P,
A16AB15,velmanase alfa,,,,
A16AB16,idursulfase beta,,,,
A16AB17,cerliponase alfa,21,mg,P,
A16AB18,vestronidase alfa,,,,
A16AB19,pegvaliase,,,,
